,bike_count,temp,humidity,dew_pt_temp,radiation,rain,snow
12,449,1.7,23,-17.2,1.11,0.0,0.0
36,479,4.3,41,-7.8,1.09,0.0,0.0
60,333,5.8,85,3.4,0.43,0.0,0.0
84,393,-0.3,38,-12.9,1.11,0.0,0.0
108,321,-2.3,25,-19.7,0.0,0.0,0.0
132,405,2.4,52,-6.4,1.08,0.0,0.0
156,431,3.7,65,-2.2,0.98,0.0,0.3
180,355,-2.0,30,-17.3,1.14,0.0,0.0
204,427,2.4,40,-9.8,1.05,0.0,0.0
228,119,2.3,88,0.5,0.28,0.0,3.1
252,247,-5.2,33,-19.0,1.26,0.0,0.0
276,228,-8.3,35,-21.0,1.14,0.0,0.0
300,267,-6.5,30,-21.2,1.17,0.0,0.0
324,278,-4.9,34,-18.3,0.6,0.0,0.0
348,309,-2.5,43,-13.3,0.34,0.0,0.0
372,252,-4.1,28,-19.9,1.08,0.0,0.0
396,216,-4.9,25,-21.9,1.08,0.0,0.0
420,62,-1.8,83,-4.3,0.09,1.1,5.1
444,191,-2.5,31,-17.3,1.08,0.0,2.3
468,209,-3.2,49,-12.4,0.53,0.0,1.9
492,290,1.9,40,-10.3,1.04,0.0,1.9
516,301,4.5,56,-3.5,0.71,0.0,0.0
540,325,7.0,72,2.2,0.64,0.0,0.0
564,4,4.1,91,2.7,0.07,9.5,0.0
588,221,-1.6,33,-15.8,1.18,0.0,0.0
612,262,-1.3,23,-19.8,1.09,0.0,0.0
636,230,-5.5,21,-24.4,1.08,0.0,0.0
660,286,-0.8,38,-13.3,0.75,0.0,0.0
684,363,4.3,62,-2.3,0.52,0.0,0.0
708,274,3.2,64,-2.9,0.47,0.0,0.0
732,209,1.4,47,-8.7,1.1,0.0,1.0
756,225,1.5,20,-19.0,1.03,0.0,0.0
780,293,0.9,29,-15.1,0.88,0.0,0.0
804,297,-3.4,32,-17.7,1.02,0.0,0.0
828,290,-2.9,33,-16.9,0.92,0.0,0.0
852,362,-0.3,45,-10.8,1.01,0.0,0.0
876,283,0.0,35,-13.6,1.07,0.0,0.0
900,278,1.1,34,-13.0,0.6,0.0,0.0
924,356,2.7,33,-12.0,0.6,0.0,0.0
948,262,-2.7,45,-13.0,1.05,0.0,0.4
972,217,-5.6,44,-15.9,1.1,0.0,0.5
996,187,-8.6,40,-19.8,1.11,0.0,0.0
1020,178,-9.6,27,-25.1,1.17,0.0,0.0
1044,174,-3.7,66,-9.1,0.45,0.2,0.4
1068,226,1.2,58,-6.1,0.74,0.0,0.0
1092,311,6.2,64,-0.1,0.79,0.0,0.0
1116,276,5.2,52,-3.8,0.45,0.0,0.0
1140,310,8.1,51,-1.4,0.75,0.0,0.0
1164,267,2.5,72,-2.0,0.0,0.0,0.0
1188,341,4.3,28,-12.6,0.98,0.0,0.0
1212,325,5.3,55,-3.0,0.85,0.0,0.0
1236,271,3.9,30,-12.1,0.91,0.0,0.0
1260,323,3.9,28,-12.9,0.6,0.0,0.0
1284,180,-11.3,27,-26.6,1.18,0.0,1.0
1308,121,-12.2,26,-27.8,1.17,0.0,0.9
1332,142,-12.8,25,-28.7,1.16,0.0,0.6
1356,111,-14.4,30,-28.2,1.17,0.0,0.5
1380,145,-7.7,32,-21.5,1.13,0.0,0.3
1404,189,-3.5,26,-20.2,1.07,0.0,0.0
1428,186,-7.3,23,-24.9,1.17,0.0,0.0
1452,253,-3.2,32,-17.5,1.01,0.0,0.0
1476,160,-1.0,35,-14.5,0.64,0.0,3.0
1500,240,-1.1,31,-16.1,1.2,0.0,1.3
1524,303,0.9,37,-12.1,1.12,0.0,0.0
1548,192,-6.0,38,-18.0,2.04,0.0,0.0
1572,165,-8.3,32,-22.1,1.99,0.0,0.0
1596,157,-7.8,28,-23.1,2.12,0.0,0.0
1620,172,-8.2,31,-22.3,2.09,0.0,0.0
1644,188,-6.0,24,-23.3,1.97,0.0,0.0
1668,253,-1.5,35,-15.0,1.9,0.0,0.0
1692,260,1.6,28,-14.9,0.88,0.0,0.0
1716,248,2.9,53,-5.7,1.37,0.0,0.0
1740,174,-3.9,28,-19.7,2.12,0.0,0.0
1764,202,-4.6,32,-18.8,1.43,0.0,0.0
1788,281,1.0,41,-10.8,2.11,0.0,0.0
1812,312,6.9,67,1.1,0.42,0.0,0.0
1836,174,1.7,20,-18.9,2.28,0.0,0.0
1860,137,2.2,19,-19.1,2.01,0.0,0.0
1884,183,-1.3,17,-23.2,2.28,0.0,0.0
1908,263,2.2,17,-20.4,1.75,0.0,0.0
1932,361,4.7,43,-6.8,1.38,0.0,0.0
1956,356,4.0,23,-15.3,2.03,0.0,0.0
1980,351,2.2,17,-20.4,1.99,0.0,0.0
2004,352,4.8,47,-5.5,1.72,0.0,0.0
2028,283,5.3,70,0.2,1.73,0.0,1.7
2052,363,4.0,37,-9.4,1.75,0.0,0.0
2076,396,5.5,25,-13.0,2.28,0.0,0.0
2100,428,6.9,28,-10.3,2.35,0.0,0.0
2124,353,5.4,37,-8.1,0.43,0.0,0.0
2148,305,7.6,48,-2.7,0.39,0.0,0.0
2172,311,0.5,46,-9.8,2.49,0.0,0.0
2196,388,1.8,26,-15.7,2.61,0.0,0.0
2220,605,10.7,16,-14.1,2.56,0.0,0.0
2244,358,10.7,85,8.2,0.52,0.0,0.0
2268,438,7.6,58,-0.1,1.85,0.0,0.0
2292,504,8.5,34,-6.4,2.55,0.0,0.0
2316,550,9.6,39,-3.7,2.09,0.0,0.0
2340,375,5.6,72,0.9,0.89,0.0,0.0
2364,510,6.8,51,-2.6,1.13,0.0,0.0
2388,650,7.1,50,-2.6,2.47,0.0,0.0
2412,666,9.2,40,-3.7,2.47,0.0,0.0
2436,581,11.7,32,-4.4,1.99,0.0,0.0
2460,626,15.5,47,4.2,2.44,0.0,0.0
2484,813,19.9,44,7.2,2.22,0.0,0.0
2508,204,13.3,97,12.8,0.19,2.0,0.0
2532,705,9.4,40,-3.5,2.78,0.0,0.0
2556,933,10.0,38,-3.6,2.51,0.0,0.0
2580,751,9.8,46,-1.2,1.13,0.0,0.0
2604,403,10.2,58,2.2,0.32,0.0,0.0
2628,522,9.0,33,-6.4,2.59,0.0,0.0
2652,333,4.8,51,-4.5,1.12,0.0,0.0
2676,668,8.3,36,-5.9,2.7,0.0,0.0
2700,690,9.3,37,-4.6,2.72,0.0,0.0
2724,806,10.6,52,1.1,2.27,0.0,0.0
2748,626,12.7,45,1.0,2.63,0.0,0.0
2772,492,14.6,53,5.1,2.65,0.0,0.0
2796,586,16.7,47,5.3,1.76,0.0,0.0
2820,629,16.5,57,7.9,1.55,0.0,0.0
2844,714,18.2,55,9.0,2.24,0.0,0.0
2868,939,19.1,26,-0.8,2.73,0.0,0.0
2892,1072,18.2,38,3.6,2.41,0.0,0.0
2916,926,18.0,53,8.2,1.53,0.0,0.0
2940,818,20.8,50,9.9,1.82,0.0,0.0
2964,913,19.6,63,12.3,0.68,0.0,0.0
2988,928,15.3,54,6.0,2.83,0.0,0.0
3012,70,7.3,95,6.5,0.3,0.5,0.0
3036,756,6.7,71,1.8,1.05,0.0,0.0
3060,697,6.0,23,-13.6,2.0,0.0,0.0
3084,709,6.9,30,-9.5,0.85,0.0,0.0
3108,799,10.4,44,-1.3,2.93,0.0,0.0
3132,1023,20.5,37,5.2,2.94,0.0,0.0
3156,0,15.7,46,4.0,3.05,0.0,0.0
3180,969,17.5,20,-5.7,3.07,0.0,0.0
3204,1095,18.2,15,-8.9,2.27,0.0,0.0
3228,75,8.6,94,7.6,0.49,0.0,0.0
3252,1105,12.5,53,3.1,2.52,0.0,0.0
3276,1052,15.5,33,-0.7,3.1,0.0,0.0
3300,1112,18.0,26,-1.8,3.03,0.0,0.0
3324,1047,16.5,17,-8.6,3.13,0.0,0.0
3348,919,17.8,21,-4.8,2.79,0.0,0.0
3372,1019,22.5,33,5.4,2.88,0.0,0.0
3396,1130,24.3,14,-4.9,3.19,0.0,0.0
3420,631,18.9,44,6.3,0.75,0.0,0.0
3444,10,9.0,96,8.3,0.43,5.5,0.0
3468,925,15.2,57,6.7,1.33,0.0,0.0
3492,1192,19.4,20,-4.1,3.08,0.0,0.0
3516,1197,19.6,36,4.1,2.55,0.0,0.0
3540,1142,19.5,40,5.5,2.89,0.0,0.0
3564,1278,20.5,31,2.7,3.18,0.0,0.0
3588,1375,20.5,31,2.7,2.79,0.0,0.0
3612,1094,22.2,50,11.2,2.65,0.0,0.0
3636,1315,22.1,67,15.6,0.81,0.0,0.0
3660,63,17.3,95,16.4,0.16,3.5,0.0
3684,871,14.1,59,6.1,1.12,0.0,0.0
3708,1206,17.9,32,0.9,3.28,0.0,0.0
3732,1258,21.9,35,5.7,2.74,0.0,0.0
3756,71,15.7,96,15.0,0.5,3.0,0.0
3780,1414,22.9,35,6.6,3.05,0.0,0.0
3804,1135,21.5,44,8.7,3.15,0.0,0.0
3828,1242,18.7,39,4.4,3.21,0.0,0.0
3852,0,19.8,49,8.7,3.17,0.0,0.0
3876,1161,20.0,47,8.3,3.08,0.0,0.0
3900,11,12.3,97,11.8,0.14,2.0,0.0
3924,1434,18.3,65,11.5,2.4,0.0,0.0
3948,1095,20.0,62,12.4,2.38,0.0,0.0
3972,1058,26.3,36,10.0,2.88,0.0,0.0
3996,59,22.9,87,20.6,0.22,0.0,0.0
4020,467,21.7,96,21.0,0.81,1.5,0.0
4044,185,16.6,96,15.9,0.34,0.0,0.0
4068,1573,20.5,42,7.1,3.42,0.0,0.0
4092,1313,18.8,31,1.2,0.92,0.0,0.0
4116,1373,21.8,31,3.9,3.39,0.0,0.0
4140,1798,22.9,51,12.2,1.8,0.0,0.0
4164,1216,20.1,37,4.9,3.44,0.0,0.0
4188,1087,22.1,36,6.3,3.2,0.0,0.0
4212,1082,24.4,24,2.5,3.28,0.0,0.0
4236,1285,26.2,31,7.7,3.18,0.0,0.0
4260,1404,23.4,38,8.2,1.87,0.0,0.0
4284,1139,26.3,44,13.0,3.24,0.0,0.0
4308,1184,23.1,64,15.9,1.35,0.0,0.0
4332,1187,23.2,64,16.0,2.08,0.0,0.0
4356,1134,23.7,44,10.7,3.2,0.0,0.0
4380,1076,28.2,34,10.8,3.26,0.0,0.0
4404,1253,28.3,30,9.0,3.29,0.0,0.0
4428,1134,28.7,27,7.8,3.29,0.0,0.0
4452,1152,26.3,36,10.0,2.61,0.0,0.0
4476,1111,28.2,35,11.2,3.23,0.0,0.0
4500,1400,27.3,51,16.2,3.16,0.0,0.0
4524,1099,25.0,56,15.6,3.19,0.0,0.0
4548,1256,23.1,56,13.8,1.71,0.0,0.0
4572,1462,28.2,42,14.0,2.84,0.0,0.0
4596,1442,23.2,50,12.1,2.45,0.0,0.0
4620,1204,23.2,52,12.7,0.82,0.0,0.0
4644,1202,24.0,51,13.2,2.29,0.0,0.0
4668,1747,24.5,56,15.1,1.74,0.0,0.0
4692,945,21.2,75,16.5,1.07,0.0,0.0
4716,1193,24.4,50,13.2,3.07,0.0,0.0
4740,1525,24.8,43,11.3,3.27,0.0,0.0
4764,1422,24.8,56,15.4,1.57,0.0,0.0
4788,988,28.4,45,15.3,2.92,0.0,0.0
4812,1224,25.8,48,13.9,2.31,0.0,0.0
4836,1252,25.2,53,14.9,3.38,0.0,0.0
4860,1197,26.4,46,13.8,3.26,0.0,0.0
4884,1116,29.8,28,9.3,3.21,0.0,0.0
4908,1374,28.4,31,9.6,2.93,0.0,0.0
4932,1042,28.9,40,13.9,3.15,0.0,0.0
4956,1039,29.8,42,15.5,2.9,0.0,0.0
4980,10,20.5,97,20.0,0.15,5.0,0.0
5004,1145,24.1,73,18.9,2.15,0.0,0.0
5028,1158,27.0,68,20.5,1.3,0.0,0.0
5052,1168,26.1,67,19.4,2.15,0.0,0.0
5076,858,25.2,94,24.1,0.39,6.4,0.0
5100,9,21.1,97,20.5,0.17,7.5,0.0
5124,218,22.4,97,21.8,0.46,0.0,0.0
5148,944,30.1,64,22.5,2.54,0.0,0.0
5172,1021,30.5,58,21.2,2.26,0.0,0.0
5196,996,27.0,68,20.5,1.2,0.0,0.0
5220,1216,25.7,57,16.5,2.32,0.0,0.0
5244,1328,26.4,47,14.1,3.26,0.0,0.0
5268,1237,25.0,46,12.5,2.93,0.0,0.0
5292,71,20.7,83,17.7,0.32,0.0,0.0
5316,1035,24.1,80,20.4,0.72,0.0,0.0
5340,964,28.1,73,22.7,0.87,0.0,0.0
5364,991,27.4,80,23.6,0.97,0.0,0.0
5388,1013,28.3,68,21.8,1.35,0.0,0.0
5412,1039,30.2,58,21.0,2.64,0.0,0.0
5436,803,30.1,58,20.9,2.15,0.0,0.0
5460,719,32.4,49,20.3,3.09,0.0,0.0
5484,803,30.8,57,21.2,2.52,0.0,0.0
5508,780,31.2,51,19.8,2.96,0.0,0.0
5532,828,31.7,42,17.2,3.23,0.0,0.0
5556,822,32.6,51,21.1,3.21,0.0,0.0
5580,735,34.2,35,16.5,3.14,0.0,0.0
5604,560,35.5,39,19.4,3.05,0.0,0.0
5628,655,34.1,47,21.1,2.94,0.0,0.0
5652,671,34.5,50,22.5,1.89,0.0,0.0
5676,791,31.1,60,22.4,1.02,0.0,0.0
5700,600,32.0,57,22.4,1.94,0.0,0.0
5724,714,33.7,53,22.7,2.5,0.0,0.0
5748,632,33.6,62,25.3,1.35,0.0,0.0
5772,644,33.8,47,20.9,1.92,0.0,0.0
5796,663,33.6,48,21.0,1.89,0.0,0.0
5820,626,35.2,39,19.1,2.86,0.0,0.0
5844,569,36.8,39,20.5,2.8,0.0,0.0
5868,562,36.6,41,21.2,2.58,0.0,0.0
5892,585,36.8,41,21.3,2.53,0.0,0.0
5916,640,33.2,52,22.0,1.59,0.0,0.0
5940,565,32.5,59,23.4,2.33,0.0,0.0
5964,613,33.2,59,24.0,2.37,0.0,0.0
5988,770,31.9,57,22.3,1.28,0.0,0.0
6012,629,34.1,46,20.8,2.72,0.0,0.0
6036,484,31.1,63,23.2,1.14,0.0,0.0
6060,721,33.4,47,20.5,2.51,0.0,0.0
6084,759,33.2,50,21.3,2.84,0.0,0.0
6108,670,33.8,44,19.8,2.72,0.0,0.0
6132,724,33.4,54,22.8,2.09,0.0,0.0
6156,699,33.9,49,21.6,1.91,0.0,0.0
6180,563,36.5,41,21.1,2.73,0.0,0.0
6204,668,34.5,44,20.4,3.19,0.0,0.0
6228,904,30.3,30,10.7,3.17,0.0,0.0
6252,952,29.8,33,11.7,3.14,0.0,0.0
6276,926,30.9,37,14.5,2.98,0.0,0.0
6300,808,31.7,45,18.3,1.96,0.0,0.0
6324,848,25.7,74,20.7,1.16,0.0,0.0
6348,784,33.9,45,20.2,2.95,0.0,0.0
6372,769,31.9,49,19.8,1.85,0.0,0.0
6396,355,25.8,81,22.2,0.8,0.0,0.0
6420,1070,27.9,55,18.0,1.49,0.0,0.0
6444,1070,28.9,42,14.6,2.5,0.0,0.0
6468,137,22.6,90,20.8,1.02,1.0,0.0
6492,25,25.2,89,23.2,0.32,2.0,0.0
6516,648,27.4,72,21.8,0.54,0.0,0.0
6540,768,27.0,74,21.9,0.94,0.0,0.0
6564,982,27.8,47,15.4,2.99,0.0,0.0
6588,1086,28.9,46,16.1,2.96,0.0,0.0
6612,1075,27.5,43,13.7,2.75,0.0,0.0
6636,673,23.9,83,20.8,0.27,0.0,0.0
6660,995,25.8,57,16.6,3.02,0.0,0.0
6684,1072,27.1,44,13.7,2.8,0.0,0.0
6708,1041,26.9,60,18.4,1.67,0.0,0.0
6732,1213,24.2,50,13.1,2.85,0.0,0.0
6756,1273,25.2,36,9.0,2.93,0.0,0.0
6780,1220,25.9,39,10.8,2.89,0.0,0.0
6804,1095,26.7,40,11.9,2.92,0.0,0.0
6828,1192,24.5,40,10.0,2.64,0.0,0.0
6852,1165,26.3,44,13.0,2.91,0.0,0.0
6876,1119,24.3,59,15.7,1.12,0.0,0.0
6900,1088,25.3,56,15.8,1.35,0.0,0.0
6924,1284,25.4,63,17.8,1.01,0.0,0.0
6948,989,23.7,64,16.4,0.79,0.0,0.0
6972,1083,25.2,50,14.0,2.83,0.0,0.0
6996,0,24.7,43,11.2,1.75,0.0,0.0
7020,0,24.9,51,14.0,1.56,0.0,0.0
7044,180,19.0,91,17.4,0.67,0.5,0.0
7068,143,19.1,91,17.5,0.63,0.0,0.0
7092,1273,24.2,43,10.8,2.31,0.0,0.0
7116,915,20.8,52,10.5,1.25,0.0,0.0
7140,754,20.3,34,3.9,2.85,0.0,0.0
7164,1045,21.7,36,5.9,2.78,0.0,0.0
7188,1358,22.5,37,7.0,2.5,0.0,0.0
7212,1189,23.2,42,9.5,2.73,0.0,0.0
7236,0,19.0,52,8.9,0.98,0.0,0.0
7260,1495,23.8,44,10.8,2.66,0.0,0.0
7284,0,20.8,47,9.0,2.0,0.0,0.0
7308,1138,18.4,40,4.5,2.28,0.0,0.0
7332,0,19.4,41,5.7,2.67,0.0,0.0
7356,1634,21.4,40,7.2,2.53,0.0,0.0
7380,0,23.2,38,8.0,2.44,0.0,0.0
7404,23,16.6,90,14.9,0.51,2.0,0.0
7428,130,18.0,92,16.6,0.45,1.0,0.0
7452,1516,19.8,46,7.8,2.3,0.0,0.0
7476,1238,19.2,31,1.6,2.4,0.0,0.0
7500,0,18.3,40,4.4,1.82,0.0,0.0
7524,1006,13.7,43,1.3,1.65,0.0,0.0
7548,967,13.2,31,-3.5,2.58,0.0,0.0
7572,1073,14.7,38,0.5,2.55,0.0,0.0
7596,1402,16.6,36,1.4,2.45,0.0,0.0
7620,1394,17.2,33,0.7,2.28,0.0,0.0
7644,1052,19.0,60,11.0,2.11,0.0,0.0
7668,1063,18.8,35,2.9,2.06,0.0,0.0
7692,1088,16.2,29,-1.8,2.45,0.0,0.0
7716,1132,16.8,50,6.3,1.94,0.0,0.0
7740,1161,17.4,33,0.9,2.39,0.0,0.0
7764,1407,17.7,33,1.2,2.37,0.0,0.0
7788,1417,18.4,28,-0.4,2.33,0.0,0.0
7812,1034,18.2,34,2.0,2.03,0.0,0.0
7836,363,11.5,90,9.9,0.06,5.0,0.0
7860,1126,16.8,48,5.7,2.1,0.0,0.0
7884,1188,18.2,37,3.2,2.25,0.0,0.0
7908,29,12.4,90,10.7,0.19,1.0,0.0
7932,1076,10.4,41,-2.3,1.33,0.0,0.0
7956,630,11.9,74,7.4,1.84,0.0,0.0
7980,737,10.8,49,0.4,1.45,0.0,0.0
8004,881,8.5,34,-6.4,2.21,0.0,0.0
8028,907,10.0,39,-3.3,2.2,0.0,0.0
8052,926,12.6,36,-2.1,2.14,0.0,0.0
8076,1023,14.9,40,1.4,2.06,0.0,0.0
8100,0,16.5,37,1.7,2.14,0.0,0.0
8124,1145,16.3,33,0.0,2.13,0.0,0.0
8148,971,16.4,48,5.3,1.68,0.0,0.0
8172,0,14.5,57,6.0,1.08,0.0,0.0
8196,697,13.2,77,9.2,0.5,0.0,0.0
8220,17,11.4,95,10.6,0.44,5.5,0.0
8244,0,13.9,50,3.6,2.14,0.0,0.0
8268,1034,15.1,54,5.8,1.91,0.0,0.0
8292,769,10.6,72,5.7,0.29,0.0,0.0
8316,888,12.3,37,-1.9,1.93,0.0,0.0
8340,890,12.8,45,1.1,1.82,0.0,0.0
8364,963,14.2,45,2.4,1.86,0.0,0.0
8388,942,13.8,43,1.4,1.61,0.0,0.0
8412,886,13.4,48,2.5,1.64,0.0,0.0
8436,994,9.1,34,-5.9,1.95,0.0,0.0
8460,776,9.2,47,-1.5,1.37,0.0,0.0
8484,785,10.3,38,-3.4,1.08,0.0,0.0
8508,788,10.1,23,-10.1,1.82,0.0,0.0
8532,697,7.7,34,-7.2,0.49,0.0,0.0
8556,717,5.9,23,-13.7,1.88,0.0,0.0
8580,664,5.5,20,-15.7,1.85,0.0,0.0
8604,167,2.5,84,0.0,0.4,1.8,7.0
8628,700,6.9,59,-0.5,1.31,0.0,2.2
8652,752,9.1,57,1.0,1.69,0.0,0.0
8676,672,9.3,61,2.1,0.85,0.0,0.0
8700,635,7.9,14,-18.0,1.81,0.0,0.0
8724,661,5.6,27,-11.9,0.34,0.0,0.0
8748,720,6.6,35,-7.8,1.7,0.0,0.0
